Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Best et al 2015,2015,6,Arthropoda,Arthropoda,Allorchestes angusta,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Juv,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,1,0,None,None,0,4,0,4,No,Lab,Int,Yes,Feeding Ability,Consumption,1,6.6909,2.4986,8.5667,2.7023,(±95%CI),3.122599526,3.377171496,Fig. 5,6,6
Best et al 2015,2015,6,Arthropoda,Arthropoda,Ampithoe lacertosa,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Juv,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,1,0,None,None,0,4,0,4,No,Lab,Int,Yes,Feeding Ability,Consumption,1,46.8476,6.4102,32.6924,8.1174,(±95%CI),8.011081199,10.14463675,Fig. 5,6,6
Best et al 2015,2015,6,Arthropoda,Arthropoda,Ampithoe sectimanus,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Juv,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,1,0,None,None,0,4,0,4,No,Lab,Int,Yes,Feeding Ability,Consumption,1,8.9847,3.5974,8.9494,3.0964,(±95%CI),4.49581347,3.869693898,Fig. 5,6,6
Best et al 2015,2015,6,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,4,0,None,None,0,56,0,56,No,Lab,Int,Yes,Growth,Growth,1,3.0925,2.0136,6.2416,1.9995,(±95%CI),1.779417095,1.766956934,Fig. 4,3,3
Best et al 2015,2015,6,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,4,0,None,None,0,56,0,56,No,Lab,Ind,Yes,Growth,Growth,1,4.3978,1.4966,6.4857,1.4693,(±95%CI),1.322544509,1.298419516,Fig. 4,3,3
Best et al 2015,2015,6,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,4,0,None,None,0,56,0,56,No,Lab,Int,Yes,Growth,Growth,1,4.7437,1.5907,6.5581,1.5654,(±95%CI),1.405700622,1.383343028,Fig. 4,3,3
Best et al 2015,2015,6,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,4,0,None,None,0,56,0,56,No,Lab,Int,Yes,Growth,Growth,1,4.7744,1.4289,7.5554,1.4291,(±95%CI),1.262718061,1.262894801,Fig. 4,3,3
Bible & Sanford 2016,2016,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,3,Juv,native,37.981098,-122.470701,37.981098,4,USA,Esturine,Mediterranean,Lab gen,Sal,Decrease,5,29,34,Constant,152,6,SU Day,Salinity,5,8,14,27,No,Lab,Ind,Yes,Survival,Survival,1,24.2383,4.3859,96.7846,1.3038,(±SE),13.1577,3.9114,Fig. 4,9,9
Bible & Sanford 2016,2016,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,3,Juv,native,37.981098,-122.470701,37.981098,4,USA,Esturine,Mediterranean,Lab gen,Sal,Decrease,5,29,34,Constant,152,6,SU Day,Salinity,5,8,14,27,No,Lab,Ind,Yes,Survival,Survival,1,39.2159,3.7098,97.9675,1.3605,(±SE),11.1294,4.0815,Fig. 4,9,9
Bible & Sanford 2016,2016,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,3,Juv,native,37.981098,-122.470701,37.981098,4,USA,Esturine,Mediterranean,Lab gen,Sal,Decrease,5,29,34,Constant,152,6,SU Day,Salinity,5,8,14,27,No,Lab,Ind,Yes,Survival,Survival,1,24.5425,7.6799,99.0236,0.9385,(±SE),23.0397,2.8155,Fig. 4,9,9
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Sal,Decrease,10,23,33,Flucuating,30,4.6,SU Day,Salinity,5,7,28,40,No,Lab,Ind,Yes,Survival,Survival,-1,0.1045,0.0313,0.0248,0.0171,(±SE),0.108426381,0.059236138,Fig. 3a,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Sal,Decrease,10,23,33,Flucuating,30,4.6,SU Day,Salinity,5,7,28,40,No,Lab,Ind,Yes,Survival,Survival,-1,0.1047,0.0336,0.0252,0.0095,(±SE),0.116393814,0.032908965,Fig. 3c,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Sal,Decrease,10,23,33,Flucuating,30,4.6,SU Day,Salinity,5,7,28,40,No,Lab,Ind,Yes,Survival,Survival,-1,0.1004,0.0267,0.0286,0.0148,(±SE),0.092491513,0.051268704,Fig. 3b,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Sal,Decrease,5,28,33,Flucuating,30,5.6,SU Day,Salinity,5,7,28,40,No,Lab,Ind,Yes,Survival,Survival,-1,0.5626,0.0338,0.0248,0.0171,(±SE),0.117086635,0.059236138,Fig. 3a,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Sal,Decrease,5,28,33,Flucuating,30,5.6,SU Day,Salinity,5,7,28,40,No,Lab,Ind,Yes,Survival,Survival,-1,0.5702,0.0288,0.0252,0.0095,(±SE),0.099766127,0.032908965,Fig. 3c,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Sal,Decrease,5,28,33,Flucuating,30,5.6,SU Day,Salinity,5,7,28,40,No,Lab,Ind,Yes,Survival,Survival,-1,0.5727,0.0294,0.0286,0.0148,(±SE),0.101844587,0.051268704,Fig. 3b,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Temp,Increase,40,17,23,Flucuating,30,0.18,Minute,Minute,0.0833333,0.0208333,28,28.1041666,No,Lab,Ind,Yes,Survival,Survival,-1,0.2187,0.0569,0.0248,0.0171,(±SE),0.197107382,0.059236138,Fig. 3a,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Temp,Increase,40,17,23,Flucuating,30,0.18,Minute,Minute,0.0833333,0.0208333,28,28.1041666,No,Lab,Ind,Yes,Survival,Survival,-1,0.0716,0.0148,0.0252,0.0095,(±SE),0.051268704,0.032908965,Fig. 3c,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Temp,Increase,40,17,23,Flucuating,30,0.18,Minute,Minute,0.0833333,0.0208333,28,28.1041666,No,Lab,Ind,Yes,Survival,Survival,-1,0.0986,0.0372,0.0286,0.0148,(±SE),0.12886458,0.051268704,Fig. 3b,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Temp,Increase,35,22,13,Flucuating,30,0.18,Minute,Minute,0.0833333,0.0208333,28,28.1041666,No,Lab,Ind,Yes,Survival,Survival,-1,0.0216,0.0172,0.0248,0.0171,(±SE),0.059582548,0.059236138,Fig. 3a,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Temp,Increase,35,22,13,Flucuating,30,0.18,Minute,Minute,0.0833333,0.0208333,28,28.1041666,No,Lab,Ind,Yes,Survival,Survival,-1,0.0342,0.0192,0.0252,0.0095,(±SE),0.066510751,0.032908965,Fig. 3c,12,12
Bible et al 2017,2017,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,37.717033,-122.308967,37.717033,1,USA,Esturine,Mediterranean,Winter,Temp,Increase,35,22,13,Flucuating,30,0.18,Minute,Minute,0.0833333,0.0208333,28,28.1041666,No,Lab,Ind,Yes,Survival,Survival,-1,0.0145,0.0173,0.0286,0.0148,(±SE),0.059928958,0.051268704,Fig. 3b,12,12
Biscere et al 2017,2017,2,Cnidaria,Cnidaria,Acropora muricata,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Heterotroph,Animal,No,1,Adult,native,-22.291899,166.434824,22.291899,1,New Caledonia,Marine,Tropical,Summer,Temp,Increase,32,6,26,Constant,21,1,Day,Day,6,56,0,62,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,1.6907,0.3894,3.0959,0.389,(±SD),0.3894,0.389,Fig. 3b,3,3
Biscere et al 2017,2017,2,Cnidaria,Cnidaria,Acropora muricata,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Heterotroph,Animal,No,1,Adult,native,-22.291899,166.434824,22.291899,1,New Caledonia,Marine,Tropical,Summer,Temp,Increase,32,6,26,Constant,21,1,Day,Day,6,56,0,62,No,Lab,Ind,Yes,Respiration,Respiration,-1,-0.3346,0.1284,-0.4636,0.1204,(±SD),0.1284,0.1204,Fig. 4b,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Ecklonia radiata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,24,9,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,56.5,30.7,53.5,26,(±SD),30.7,26,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Lessonia variegata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,24,9,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,51.3,4.3,45.8,6.5,(±SD),4.3,6.5,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Lessonia variegata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,18,15,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,53.6,6.1,45.8,6.5,(±SD),6.1,6.5,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Lessonia variegata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,6,27,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,34.3,8,45.8,6.5,(±SD),8,6.5,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,24,9,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,54.72,5.9,52.8,8.7,(±SD),5.9,8.7,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,18,15,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,45.6,22.9,52.8,8.7,(±SD),22.9,8.7,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,12,21,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,63.6,28.9,52.8,8.7,(±SD),28.9,8.7,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Sal,Decrease,6,27,33,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,67.6,14.6,52.8,8.7,(±SD),14.6,8.7,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Ecklonia radiata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Temp,Decrease,5,10,15,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,110,19.1,53.5,26,(±SD),19.1,26,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Lessonia variegata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Temp,Increase,20,10,10,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,65.7,5.2,45.8,6.5,(±SD),5.2,6.5,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Lessonia variegata,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Temp,Decrease,5,10,15,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,71.8,10.3,45.8,6.5,(±SD),10.3,6.5,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Temp,Increase,25,10,15,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,41.2,9.3,52.8,8.7,(±SD),9.3,8.7,T 2,3,3
Bollen et al 2016,2016,3,Heterokonta,Heterokonta,Undaria pinnatifida,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,-37.556182,176.086273,37.556182,1,New Zealand,Marine,Temperate,Winter,Temp,Decrease,5,10,15,Constant,1,0,None,None,0,10,0,10,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,64.3,8.1,52.8,8.7,(±SD),8.1,8.7,T 2,3,3
Braby & Somero 2006,2006,3,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,both,36.805744,-121.803403,36.805744,1,USA,Marine,Mediterranean,Spring,Sal,Decrease,10,18,28,Ramping,0,0,None,None,0,0.25,0,0.25,No,Lab,Ind,No,,,,,,,,,,,,,
Braby & Somero 2006,2006,3,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,both,36.805744,-121.803403,36.805744,1,USA,Marine,Mediterranean,Spring,Temp,Increase,30,17,13,Ramping,0,0,None,None,0,0.25,0.25,0.5,Yes,Lab,Ind,No,,,,,,,,,,,,,
Broitman et al 2018,2018,2,Mollusca,Gastropoda,Scurria viridula,Limpet,Mollusca,Mollusca,Grazer,Heterotroph,Animal,Yes,1,Juv,native,-32.238242,-71.50925,32.238242,4,Chile,Marine,Temperate,Unstated,Temp,Increase,38,24,14,Ramping,30,1,Minute 30,Minute,1,0,0,1,No,Lab,Ind,No,,,,,,,,,,,,,
Brown et al 2014,2014,2,Heterokonta,Heterokonta,Macrocystis pyrifera,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,32.693492,-117.239078,32.693492,1,USA,Marine,Mediterranean,Summer,Temp,Increase,15,3,12,Constant,0,0,None,None,0,30,0,30,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,15.4764,4.4352,19.7888,1.4251,(±SE),7.681991742,2.468345606,Fig. 2,3,3
Brown et al 2014,2014,2,Echinodermata,Echinodermata,Strongylocentrotus purpuratus,Urchin,Echinodermata,Echinodermata,Grazer,Heterotroph,Animal,No,1,Adult,native,32.693492,-117.239078,32.693492,1,USA,Marine,Mediterranean,Winter,Temp,Increase,15,3,12,Constant,21,0,None,None,0,30,0,30,No,Lab,Int,Yes,Feeding Ability,Consumption,1,0.0121,0.0034,0.0242,0.0048,(±SE),0.009616652,0.0144,Fig. 6a,9,8
Brown et al 2014,2014,2,Echinodermata,Echinodermata,Strongylocentrotus purpuratus,Urchin,Echinodermata,Echinodermata,Grazer,Heterotroph,Animal,No,1,Adult,native,32.693492,-117.239078,32.693492,1,USA,Marine,Mediterranean,Winter,Temp,Increase,15,3,12,Constant,21,0,None,None,0,60,0,60,No,Lab,Int,Yes,Growth,Growth,1,-1.3702,0.6375,1.3866,0.3654,(±SE),1.686666461,1.0962,Fig. 4,9,7
Brown et al 2014,2014,2,Heterokonta,Heterokonta,Macrocystis pyrifera,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,32.693492,-117.239078,32.693492,1,USA,Marine,Mediterranean,Summer,Temp,Increase,15,3,12,Constant,0,0,None,None,0,30,0,30,No,Lab,Ind,Yes,Growth,Growth,1,6.9588,0.8175,11.7525,0.6784,(±SE),3.468358762,2.878207442,Fig. 1,18,18
Brown et al 2014,2014,2,Echinodermata,Echinodermata,Strongylocentrotus purpuratus,Urchin,Echinodermata,Echinodermata,Grazer,Heterotroph,Animal,No,1,Adult,native,32.693492,-117.239078,32.693492,1,USA,Marine,Mediterranean,Winter,Temp,Increase,15,3,12,Constant,21,0,None,None,0,30,0,30,No,Lab,Int,Yes,Reproduction,Reproduction,1,3.4788,0.6874,4.9939,0.6877,(±SE),1.944260806,2.0631,Fig. 5,9,8
Brown et al 2014,2014,2,Heterokonta,Heterokonta,Macrocystis pyrifera,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,32.693492,-117.239078,32.693492,1,USA,Marine,Mediterranean,Winter,Temp,Increase,15,3,12,Constant,7,0,None,None,0,30,0,30,No,Lab,Int,Yes,Survival,Survival,-1,0.0308,0.0057,0.0242,0.0048,(±SE),0.016122035,0.0144,Fig. 6a,9,8
Burgess & Marshall 2011,2011,1,Bryozoa,Bryozoa,Bugula neritina,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Larval,nns,-27.45912,153.189078,27.45912,1,Australia,Marine,Tropical,Lab gen,Temp,Increase,25,6,19,Constant,0,0,None,None,0,7,0,7,No,Lab,Pop,Yes,Growth,Metamorphosis,1,0.3921,0.4015,0.8472,0.1152,(±SE),0.695418399,0.199532253,Fig. 5b,3,3
Burgess & Marshall 2011,2011,1,Bryozoa,Bryozoa,Bugula neritina,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Larval,nns,-27.45912,153.189078,27.45912,1,Australia,Marine,Tropical,Lab gen,Temp,Increase,25,6,19,Constant,0,0,None,None,0,7,0,7,Yes,Lab,Pop,Yes,Growth,Metamorphosis,1,1.8452,0.6321,1.1934,0.0983,(±SE),1.094829315,0.170260594,Fig. 5b,3,3
Burgess & Marshall 2011,2011,1,Bryozoa,Bryozoa,Bugula neritina,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Larval,nns,-27.45912,153.189078,27.45912,1,Australia,Marine,Tropical,Autumn,Temp,Increase,25,6,19,Constant,0,0,None,None,0,7,0,7,No,Lab,Pop,Yes,Reproduction,Larvae size,1,0.048927,0.005515,0.051591,0.004432,(±SD),0.005515,0.004432,Fig. 3,3,3
Burgess & Marshall 2011,2011,1,Bryozoa,Bryozoa,Bugula neritina,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Larval,nns,-27.45912,153.189078,27.45912,1,Australia,Marine,Tropical,Autumn,Temp,Increase,25,6,19,Constant,0,0,None,None,0,7,0,7,No,Lab,Pop,Yes,Reproduction,Larvae size,1,0.060536,0.004625,0.064944,0.004157,(±SD),0.004625,0.004157,Fig. 3,3,3
Bussell et al 2008,2008,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,53.254372,-4.104461,53.254372,1,UK,Marine,Temperate,Spring,Sal,Decrease,16,16,32,Constant,2,0,None,None,0,2,0,2,Yes,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,23.6496,5.6888,34.9205,14.5264,(±95%CI),6.49007322,16.5724581,Fig. 2,5,5
Bussell et al 2008,2008,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,53.254372,-4.104461,53.254372,1,UK,Marine,Temperate,Spring,Sal,Decrease,16,16,32,Constant,2,0,None,None,0,2,0,2,Yes,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,36.8739,11.9928,47.9597,4.9027,(±95%CI),13.68199798,5.593250241,Fig. 2,5,5
Bussell et al 2008,2008,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,53.254372,-4.104461,53.254372,1,UK,Marine,Temperate,Spring,Sal,Decrease,16,16,32,Constant,2,0,None,None,0,2,0,2,Yes,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,67.2547,8.4467,86.5888,6.4076,(±95%CI),9.636426217,7.310116925,Fig. 2,5,5
Campbell et al 2016,2016,3,Chlorophyta,Chlorophyta,Halimeda incrassata,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,27.441534,-80.314138,27.441534,1,USA,Marine,Tropical,Summer,Temp,Increase,31,3,28,Constant,30,0,None,None,0,28,0,28,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,5.0173,0.7681,2.8778,0.3704,(±SE),1.330388225,0.641551619,Fig. 3,3,3
Campbell et al 2016,2016,3,Chlorophyta,Chlorophyta,Halimeda opuntia,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,27.441534,-80.314138,27.441534,1,USA,Marine,Tropical,Summer,Temp,Increase,31,3,28,Constant,30,0,None,None,0,28,0,28,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,2.0169,0.2963,1.2741,0.5186,(±SE),0.513206654,0.898241549,Fig. 3,3,3
Campbell et al 2016,2016,3,Chlorophyta,Chlorophyta,Halimeda opuntia,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,27.441534,-80.314138,27.441534,1,USA,Marine,Tropical,Summer,Temp,Increase,31,3,28,Constant,30,0,None,None,0,28,0,28,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,12.6784,1.8374,11.1132,0.7486,(±SE),3.182470154,1.296613235,Fig. 5,3,3
Campbell et al 2016,2016,3,Chlorophyta,Chlorophyta,Halimeda simulans,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,27.441534,-80.314138,27.441534,1,USA,Marine,Tropical,Summer,Temp,Increase,31,3,28,Constant,30,0,None,None,0,28,0,28,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,3.3742,0.1475,2.7604,0.8144,(±SE),0.255477494,1.410582178,Fig. 3,3,3
Campbell et al 2016,2016,3,Chlorophyta,Chlorophyta,Halimeda simulans,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,27.441534,-80.314138,27.441534,1,USA,Marine,Tropical,Summer,Temp,Increase,31,3,28,Constant,30,0,None,None,0,28,0,28,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,5.573,1.1637,4.1939,0.6034,(±SE),2.015587525,1.045119457,Fig. 5,3,3
